title,source,category,published_at,vader_compound,vader_label,tb_polarity,tb_subjectivity,tb_label,consensus_label,token_count,url
Which Macs are suffering from shortages—and where are things getting worse? - Ars Technica,Ars Technica,technology,2026-05-08T15:00:27Z,-0.7506,Negative,-0.4,0.6,Negative,Negative,15,https://arstechnica.com/gadgets/2026/05/were-tracking-423-mac-configurations-to-see-how-apple-is-handling-shortages/
‘It’s Insane!’ Californians Fume Over $6 Gas In Scathing MS NOW Segment,Mediaite,kw:economy,2026-05-08T16:56:14Z,-0.8217,Negative,-0.5928571428571429,0.9047619047619048,Negative,Negative,47,https://www.mediaite.com/media/tv/its-insane-californians-fume-over-6-gas-in-scathing-ms-now-segment/
NVIDIA (NVDA) Gains Another Enterprise AI Win As Adoption Continues To Expand,Yahoo Entertainment,kw:artificial intelligence,2026-05-08T16:58:50Z,0.8807,Positive,0.26666666666666666,0.7999999999999999,Positive,Positive,40,https://finance.yahoo.com/sectors/technology/articles/nvidia-nvda-gains-another-enterprise-165850296.html
